FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
1000,AL,Alabama,2011,4798834,59689,48818,4716,-2239,2202670,9.6
2000,AK,Alaska,2011,722038,11702,3936,1320,-979,365913,7.6
4000,AZ,Arizona,2011,6473497,86103,48157,17126,10583,3037017,9.5
5000,AR,Arkansas,2011,2940407,38442,29463,3717,5504,1362682,8.3
6000,CA,California,2011,37641823,509763,238444,105527,-53949,18415100,11.7
8000,CO,Colorado,2011,5121771,65919,32015,12670,26255,2736079,8.4
9000,CT,Connecticut,2011,3588023,37642,29315,13027,-12343,1914775,8.8
10000,DE,Delaware,2011,907316,11301,7872,1556,2782,443346,7.5
11000,DC,District of Columbia,2011,619602,9199,4672,2429,7251,350778,10.2
12000,FL,Florida,2011,19093352,213213,174508,101645,106023,9300542,10
13000,GA,Georgia,2011,9801578,132614,71126,11982,15503,4748754,10.2
15000,HI,Hawaii,2011,1379252,19154,10064,7313,-938,660253,6.8
16000,ID,Idaho,2011,1583828,22952,11887,1608,272,765178,8.3
17000,IL,Illinois,2011,12867291,162426,101615,31610,-65999,6586893,9.7
18000,IN,Indiana,2011,6516045,83465,57898,8941,-8711,3181991,9.1
19000,IA,Iowa,2011,3066054,37852,28210,6180,-541,1662376,5.5
20000,KS,Kansas,2011,2869035,40125,25179,4854,-8983,1491087,6.5
21000,KY,Kentucky,2011,4369488,55319,42430,5057,3434,2056410,9.4
22000,LA,Louisiana,2011,4575184,62300,40758,6783,1970,2073217,7.8
23000,ME,Maine,2011,1328150,12625,13029,1110,-82,699281,7.9
24000,MD,Maryland,2011,5838991,73542,43674,20726,208,3096561,7.2
25000,MA,Massachusetts,2011,6613149,73183,54019,33969,-5779,3469308,7.3
26000,MI,Michigan,2011,9881521,113976,89842,21780,-42146,4685164,10.4
27000,MN,Minnesota,2011,5345668,68368,39982,11931,-5302,2946279,6.5
28000,MS,Mississippi,2011,2978470,39745,29131,2117,-5002,1342808,10
29000,MO,Missouri,2011,6009641,76247,55984,8457,-14935,3047786,8.5
30000,MT,Montana,2011,997221,12005,9128,437,3177,501225,6.9
31000,NE,Nebraska,2011,1840538,25725,15622,2131,-1209,1003256,4.4
32000,NV,Nevada,2011,2712799,35846,20201,1107,-6189,1373115,13
