,FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
0,1000,AL,Alabama,2019,4669528,57890.60714285716,54180.85714285704,3529.214285714319,3231.142857142724,2177756.214285714,3.1107142857142662
1,1000,AL,Alabama,2020,4665417,57696.79761904763,54897.13095238083,3296.1785714285797,3839.2023809521925,2177634.5119047617,2.363095238095184
2,1000,AL,Alabama,2021,4661306,57502.988095238106,55613.40476190462,3063.1428571428405,4447.261904761894,2177512.8095238092,1.6154761904761017
3,2000,AK,Alaska,2019,706625,10796.0,4814.57142857142,2600.2142857142608,-12668.464285714552,357913.8571428573,6.510714285714272
4,2000,AK,Alaska,2020,705017,10698.75,4938.059523809527,2695.8452380952367,-14088.095238095615,356745.2976190476,6.413095238095224
5,2000,AK,Alaska,2021,703408,10601.5,5061.547619047604,2791.4761904761835,-15507.726190476213,355576.73809523834,6.315476190476176
6,4000,AZ,Arizona,2019,6891550,83768.75,60285.60714285681,16709.785714285797,87226.1428571418,3439911.2857142836,3.6071428571426623
7,4000,AZ,Arizona,2020,6968502,83413.75,61929.964285714086,16442.82142857148,96650.8690476194,3499610.6547619104,2.922619047619037
8,4000,AZ,Arizona,2021,7045454,83058.75,63574.32142857136,16175.85714285716,106075.59523809329,3559310.0238095224,2.238095238095184
9,5000,AR,Arkansas,2019,2841776,37612.10714285716,31749.5,2268.3928571428987,1706.3214285714785,1340131.9642857143,2.3500000000001364
10,5000,AR,Arkansas,2020,2832440,37483.630952380976,31999.833333333372,2093.5357142857392,1906.3095238095266,1340292.511904762,1.6083333333333485
11,5000,AR,Arkansas,2021,2823104,37355.15476190476,32250.166666666686,1918.6785714285797,2106.297619047633,1340453.0595238095,0.8666666666667879
12,6000,CA,California,2019,39085937,476666.25,282018.8928571418,141811.89285714366,-163510.67857143283,19473140.142857134,2.4714285714285325
13,6000,CA,California,2020,39280327,472714.75,288101.11904761754,144925.20238095243,-180681.1071428582,19612236.61904764,1.3761904761904589
14,6000,CA,California,2021,39474718,468763.25,294183.34523809515,148038.51190476213,-197851.5357142836,19751333.09523809,0.2809523809523853
15,8000,CO,Colorado,2019,5695756,66727.75,39504.71428571432,8146.357142857043,51468.03571428545,3080019.7857142836,1.203571428571422
16,8000,CO,Colorado,2020,5759701,66926.08333333337,40469.67857142864,7662.380952380947,54155.65476190485,3128985.321428567,0.3238095238095866
17,8000,CO,Colorado,2021,5823645,67124.41666666669,41434.64285714296,7178.404761904734,56843.27380952332,3177950.8571428508,-0.5559523809524762
18,9000,CT,Connecticut,2019,3555131,34786.82142857148,31452.535714285797,16389.928571428638,-29358.14285714319,1895489.0714285716,3.178571428571331
19,9000,CT,Connecticut,2020,3547338,34477.059523809585,31756.07142857148,16683.60714285716,-30991.785714285914,1896282.142857143,2.465476190476238
20,9000,CT,Connecticut,2021,3539544,34167.29761904769,32059.60714285716,16977.28571428568,-32625.428571428638,1897075.2142857143,1.7523809523809177
21,10000,DE,Delaware,2019,882186,10737.142857142855,9437.571428571478,1980.857142857145,5900.535714285797,488654.3214285709,3.0928571428569285
22,10000,DE,Delaware,2020,884972,10678.28571428571,9666.309523809527,2015.6309523809468,6313.5714285714785,494990.97619047575,2.5357142857139934
23,10000,DE,Delaware,2021,887757,10619.428571428565,9895.047619047633,2050.4047619047633,6726.6071428571595,501327.6309523806,1.9785714285712857
24,11000,DC,District of Columbia,2019,750543,9946.32142857142,5588.285714285681,4227.0,-1523.571428571362,416381.7857142873,4.589285714285779
25,11000,DC,District of Columbia,2020,756255,10041.476190476184,5731.238095238048,4289.5,-2645.392857142724,423918.90476190485,3.9369047619047706
26,11000,DC,District of Columbia,2021,761967,10136.630952380947,5874.190476190473,4352.0,-3767.214285714086,431456.02380952425,3.284523809523762
27,12000,FL,Florida,2019,21535336,226644.0357142859,211542.28571428545,185300.1785714291,194583.92857142538,10285976.857142866,2.2821428571430715
28,12000,FL,Florida,2020,21865914,228385.73809523834,216678.0714285709,197313.3571428582,205877.6904761903,10419891.464285731,1.3976190476191732
29,12000,FL,Florida,2021,22196492,230127.44047619076,221813.85714285634,209326.5357142873,217171.4523809515,10553806.071428597,0.5130952380952749
30,13000,GA,Georgia,2019,10342244,128052.14285714284,86680.14285714272,28276.96428571455,49332.07142857276,5097711.642857134,2.760714285714357
31,13000,GA,Georgia,2020,10422756,127569.28571428568,88792.28571428545,29615.845238095615,54669.142857143655,5150125.785714284,1.854761904761972
32,13000,GA,Georgia,2021,10503269,127086.42857142852,90904.42857142817,30954.726190476213,60006.21428571455,5202539.928571433,0.9488095238095866
33,15000,HI,Hawaii,2019,1318834,17315.35714285716,12643.75,4765.035714285681,-15973.678571428638,690159.25,1.2250000000001364
34,15000,HI,Hawaii,2020,1315260,17061.880952380947,13002.666666666744,4349.988095238106,-17988.9404761903,695090.75,0.5666666666668334
35,15000,HI,Hawaii,2021,1311687,16808.404761904792,13361.583333333372,3934.940476190415,-20004.202380952425,700022.25,-0.09166666666646961
36,16000,ID,Idaho,2019,1616290,22450.892857142855,13449.785714285681,2465.5714285714203,28737.25,858455.8571428545,1.5142857142855064
37,16000,ID,Idaho,2020,1623058,22413.53571428571,13641.238095238048,2556.8095238095266,32736.0,871777.7142857127,0.7285714285712857
38,16000,ID,Idaho,2021,1629826,22376.178571428565,13832.690476190473,2648.047619047604,36734.75,885099.5714285709,-0.0571428571429351
39,17000,IL,Illinois,2019,12931169,148799.46428571455,110865.14285714272,29421.071428571435,-131549.9642857164,6462730.8928571455,3.2785714285714675
40,17000,IL,Illinois,2020,12888887,147067.59523809562,112111.36904761894,29382.476190476198,-139992.1785714291,6447447.869047623,2.4571428571427987
41,17000,IL,Illinois,2021,12846606,145335.7261904762,113357.59523809515,29343.88095238096,-148434.3928571418,6432164.845238097,1.6357142857141298
42,18000,IN,Indiana,2019,6848695,81947.32142857136,63782.178571428405,10083.82142857145,-623.5,3404242.571428567,1.9214285714283506
43,18000,IN,Indiana,2020,6881305,81704.14285714278,64437.85714285704,10160.89285714287,681.9166666669771,3436330.22619047,1.0345238095235345
44,18000,IN,Indiana,2021,6913915,81460.9642857142,65093.53571428568,10237.96428571429,1987.3333333334886,3468417.8809523806,0.14761904761894584
45,19000,IA,Iowa,2019,3298839,39313.67857142858,29351.07142857142,5898.0714285714275,-4487.3928571428405,1700635.4642857146,2.217857142857042
46,19000,IA,Iowa,2020,3302646,39410.44047619047,29458.559523809527,5907.809523809523,-4893.702380952425,1704887.928571429,1.810714285714198
47,19000,IA,Iowa,2021,3306453,39507.202380952396,29566.047619047604,5917.547619047618,-5300.011904761894,1709140.3928571437,1.4035714285713539
48,20000,KS,Kansas,2019,2923487,36714.78571428568,25938.78571428574,3912.928571428638,-17196.35714285681,1481173.0714285714,2.739285714285643
49,20000,KS,Kansas,2020,2906382,36251.904761904734,26013.654761904763,3545.6071428571595,-18332.464285714086,1480008.0595238097,2.3119047619047706
50,20000,KS,Kansas,2021,2889276,35789.02380952379,26088.523809523816,3178.285714285681,-19468.571428571362,1478843.0476190476,1.8845238095237846
51,21000,KY,Kentucky,2019,4328915,54575.25,47640.142857142724,6254.3571428571595,-1788.4285714285797,2028260.1071428568,3.135714285714357
52,21000,KY,Kentucky,2020,4323075,54408.0,48260.03571428568,6168.630952380976,-1750.440476190488,2026581.214285714,2.3964285714287143
53,21000,KY,Kentucky,2021,4317236,54240.75,48879.92857142864,6082.904761904763,-1712.4523809523816,2024902.3214285714,1.6571428571428442
54,22000,LA,Louisiana,2019,4620627,62243.03571428574,46730.78571428568,3413.678571428638,-30346.321428570896,2132796.8928571437,4.574999999999932
55,22000,LA,Louisiana,2020,4630601,62125.988095238135,47452.07142857136,3051.3571428571595,-34872.8095238097,2137500.2023809534,4.191666666666606
56,22000,LA,Louisiana,2021,4640575,62008.9404761905,48173.35714285704,2689.035714285681,-39399.29761904664,2142203.511904763,3.8083333333332803
57,23000,ME,Maine,2019,1231640,12497.89285714287,14560.607142857101,976.5357142857101,4762.642857142724,692593.6428571427,2.025000000000091
58,23000,ME,Maine,2020,1222591,12460.702380952382,14766.46428571426,914.4047619047633,5563.4523809521925,691635.2857142857,1.2916666666667425
59,23000,ME,Maine,2021,1213541,12423.511904761908,14972.32142857142,852.2738095238019,6364.261904761894,690676.9285714286,0.558333333333394
60,24000,MD,Maryland,2019,6308235,71903.07142857148,51805.89285714319,23357.642857142855,-34694.0714285709,3208208.0,3.214285714285552
