FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate,3yearsPopulationChange
1000,AL,Alabama,2019,4669528,57890.60714,54180.85714,3529.214286,3231.142857,2177756.214,3.110714286,
1000,AL,Alabama,2020,4665417,57696.79762,54897.13095,3296.178571,3839.202381,2177634.512,2.363095238,
1000,AL,Alabama,2021,4661306,57502.9881,55613.40476,3063.142857,4447.261905,2177512.81,1.61547619,-226565
2000,AK,Alaska,2019,706625,10796,4814.571429,2600.214286,-12668.46429,357913.8571,6.510714286,
2000,AK,Alaska,2020,705017,10698.75,4938.059524,2695.845238,-14088.09524,356745.2976,6.413095238,
2000,AK,Alaska,2021,703408,10601.5,5061.547619,2791.47619,-15507.72619,355576.7381,6.31547619,-34030
4000,AZ,Arizona,2019,6891550,83768.75,60285.60714,16709.78571,87226.14286,3439911.286,3.607142857,
4000,AZ,Arizona,2020,6968502,83413.75,61929.96429,16442.82143,96650.86905,3499610.655,2.922619048,
4000,AZ,Arizona,2021,7045454,83058.75,63574.32143,16175.85714,106075.5952,3559310.024,2.238095238,-126192
5000,AR,Arkansas,2019,2841776,37612.10714,31749.5,2268.392857,1706.321429,1340131.964,2.35,
5000,AR,Arkansas,2020,2832440,37483.63095,31999.83333,2093.535714,1906.309524,1340292.512,1.608333333,
5000,AR,Arkansas,2021,2823104,37355.15476,32250.16667,1918.678571,2106.297619,1340453.06,0.866666667,-190721
6000,CA,California,2019,39973677,476666.25,282018.8929,141811.8929,-163510.6786,19473140.14,2.471428571,
6000,CA,California,2020,40255960,472714.75,288101.119,144925.2024,-180681.1071,19612236.62,1.376190476,
6000,CA,California,2021,40538243,468763.25,294183.3452,148038.5119,-197851.5357,19751333.1,0.280952381,981198
8000,CO,Colorado,2019,5695756,66727.75,39504.71429,8146.357143,51468.03571,3080019.786,1.203571429,
8000,CO,Colorado,2020,5759701,66926.08333,40469.67857,7662.380952,54155.65476,3128985.321,0.323809524,
8000,CO,Colorado,2021,5823645,67124.41667,41434.64286,7178.404762,56843.27381,3177950.857,-0.555952381,128081
9000,CT,Connecticut,2019,3555131,34786.82143,31452.53571,16389.92857,-29358.14286,1895489.071,3.178571429,
9000,CT,Connecticut,2020,3547338,34477.05952,31756.07143,16683.60714,-30991.78571,1896282.143,2.46547619,
9000,CT,Connecticut,2021,3539544,34167.29762,32059.60714,16977.28571,-32625.42857,1897075.214,1.752380952,-33121
10000,DE,Delaware,2019,882186,10737.14286,9437.571429,1980.857143,5900.535714,488654.3214,3.092857143,
10000,DE,Delaware,2020,884972,10678.28571,9666.309524,2015.630952,6313.571429,494990.9762,2.535714286,
10000,DE,Delaware,2021,887757,10619.42857,9895.047619,2050.404762,6726.607143,501327.631,1.978571429,-79414
11000,DC,District of Columbia,2019,750543,9946.321429,5588.285714,4227,-1523.571429,416381.7857,4.589285714,
11000,DC,District of Columbia,2020,756255,10041.47619,5731.238095,4289.5,-2645.392857,423918.9048,3.936904762,
11000,DC,District of Columbia,2021,761967,10136.63095,5874.190476,4352,-3767.214286,431456.0238,3.28452381,59512
12000,FL,Florida,2019,21535336,226644.0357,211542.2857,185300.1786,194583.9286,10285976.86,2.282142857,
12000,FL,Florida,2020,21865914,228385.7381,216678.0714,197313.3571,205877.6905,10419891.46,1.397619048,
12000,FL,Florida,2021,22196492,230127.4405,221813.8571,209326.5357,217171.4524,10553806.07,0.513095238,897167
13000,GA,Georgia,2019,10342244,128052.1429,86680.14286,28276.96429,49332.07143,5097711.643,2.760714286,
